ref_id,title,url,additional_urls,source_type,access_note,local_filename,checked_date
E1,"ITER Organization, “One-stop shop: Engineering Database launched.”",https://www.iter.org/node/20687/one-stop-shop-engineering-database-launched,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E2,"ITER Organization, “Seeing ITER at millimetre-level resolution.”",https://www.iter.org/node/20687/seeing-iter-millimetre-level-resolution,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E3,"ITER Organization, “On-the-fly data transfer / global design office.”",https://www.iter.org/node/20687/fly-data-transfer,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E4,"ASME, V&V 10 - Standard for Verification and Validation in Computational Solid Mechanics",https://www.asme.org/codes-standards/find-codes-standards/standard-for-verification-and-validation-in-computational-solid-mechanics,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E5,"ASME, Digital Engineering and VVUQ standards overview",https://www.asme.org/codes-standards/about-standards/technology-highlights/digital-engineering,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E6,"NAFEMS, Guidelines for Validation of Engineering Simulations",https://www.nafems.org/publications/resource_center/r0134/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E7,"SALOME Platform, official features and documentation",https://www.salome-platform.org/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E8,Paramak and bluemira documentation,https://paramak.readthedocs.io/,https://bluemira.readthedocs.io/,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E9,Gmsh official documentation,https://gmsh.info/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E10,JT-60SA divertor electromagnetic modelling with Ansys Maxwell/Workbench,https://doi.org/10.1016/j.fusengdes.2022.113400,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E11,Albanese/Rubinacci CARIDDI lineage and ITER magnet voltages,https://doi.org/10.1016/j.fusengdes.2023.113500,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E12,JOREK-CARIDDI RMP screening,https://arxiv.org/abs/2403.03226,,paper/report,open full text archived locally; verify publisher terms before redistribution,E12-CARIDDI-JOREK.pdf,2026-08-09
E13,JOREK-STARWALL nonlinear MHD/wall coupling,https://arxiv.org/abs/1408.6379,,paper/report,open full text archived locally; verify publisher terms before redistribution,E13-JOREK-STARWALL.pdf,2026-08-09
E14,Open FUSION Toolkit official documentation,https://openfusiontoolkit.github.io/OpenFUSIONToolkit/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E15,ThinCurr for SPARC and DIII-D conducting structures,https://arxiv.org/abs/2309.15336,,paper/report,open full text archived locally; verify publisher terms before redistribution,E15-ThinCurr.pdf,2026-08-09
E16,"VALEN 3D wall/control modelling, IAEA contribution",https://www-pub.iaea.org/MTCD/Publications/PDF/csp_019c/pdf/thp3_13.pdf,,official documentation/webpage,open full text archived locally; verify publisher terms before redistribution,E16-VALEN.pdf,2026-08-09
E17,Keddy3D thin-wall eddy-current code,https://www.jspf.or.jp/PFR/PFR_articles/pfr2022/pfr2022_17-1403104.html,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E18,Ansys Magneto-Structural Analysis documentation,https://ansyshelp.ansys.com/public/Views/Secured/corp/v252/en/ans_cou/Hlp_G_COU3_magstr.html,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E19,Ansys System Coupling documentation,https://ansyshelp.ansys.com/public/Views/Secured/corp/v252/en/ai_sinfo/sc_intro.html,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E20,EAST outer divertor disruption loads reconstructed from measured discharges with COMSOL,https://www.ans.org/pubs/journals/fst/article-37570/,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E21,KSTAR eddy-current vertical forces,https://doi.org/10.1016/S0920-3796(03)00052-8,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E22,"4C code for ITER cryogenic circuit, conductor and coil",https://doi.org/10.1016/j.cryogenics.2009.05.012,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E23,"4C qualification and validation review, IAEA FEC 2025",https://conferences.iaea.org/event/392/papers/36422/files/13780-FEC2025_Paper_4C_v3_final.pdf,,official documentation/webpage,open full text archived locally; verify publisher terms before redistribution,E23-4C-validation-FEC2025.pdf,2026-08-09
E24,CryoSoft THEA official description,https://supermagnet.sourceforge.io/thea.html,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E25,QUELL experiment validation of Gandalf,https://doi.org/10.1016/S0011-2275(98)00014-9,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E26,JackPot-ACDC + THEA ITER conductor stability,https://ris.utwente.nl/ws/portalfiles/portal/59262637/Jackpot_THEA_CS_stability_ver8.2.pdf,,paper/report,open full text archived locally; verify publisher terms before redistribution,E26-JackPot-THEA.pdf,2026-08-09
