category,tool_or_platform,license_and_stack,license_class,scope_and_validation,limitations_and_twin_gap,evidence_cutoff,url
A.1 几何、数据与工作流,CATIA V5/3DEXPERIENCE + ENOVIA,闭源商业；CAD/PLM/CAA/VBA/API,商业/闭源,ITER 等超大装配、配置、接口、制造；以供应商/装配检查验证,许可与定制昂贵；CAE 派生、在线状态和物理证据需外部系统,2026-08-09,https://www.3ds.com/products/catia
A.1 几何、数据与工作流,NX + Teamcenter,闭源商业；Parasolid、PLM、Simcenter 生态,商业/闭源,产品结构、公差、制造、CAE 数据管理；工业资格深,聚变专用载荷/核数据接口需自建；厂商锁定,2026-08-09,https://plm.sw.siemens.com/en-US/nx/
A.1 几何、数据与工作流,AVEVA E3D / Bentley / Revit,闭源商业；厂房、管线、BIM,商业/闭源,厂房布置、HVAC、管线、电缆和碰撞；现场测量/施工验证,不是物理求解器；与核分析/装置状态语义连接有限,2026-08-09,https://www.aveva.com/en/products/e3d-design/
A.1 几何、数据与工作流,SALOME,LGPL；C++/Python、OpenCASCADE、SMESH、MED,开源/开放,CAD 简化、网格、场映射、YACS/SALOME_Meca/CFD；核工业积累,大装配鲁棒性、PLM 权限和商业支持弱于主流平台,2026-08-09,https://www.salome-platform.org/
A.1 几何、数据与工作流,FreeCAD/CadQuery/OpenCASCADE,开源；C++/Python,开源/开放,参数化部件、自动几何、概念模型；与 CAD 体积/尺寸比较,复杂装配、配置、制造和核质量流程不足,2026-08-09,https://www.freecad.org/
A.1 几何、数据与工作流,Paramak / bluemira,开源；Python/CadQuery/OpenCASCADE,开源/开放,Tokamak 参数化 CAD、概念设计、中子学几何快速迭代,不等于制造 CAD；细节和 as-built 配置不足,2026-08-09,https://paramak.readthedocs.io/
A.1 几何、数据与工作流,HyperMesh/ANSA/SpaceClaim/Cubit,闭源商业为主；网格与几何修复,商业/闭源,大型 FE/CFD/蒙卡前处理；网格质量和求解器导出成熟,特征删除可能破坏电流、流束和结构路径；需审计规则,2026-08-09,https://altair.com/hypermesh
A.1 几何、数据与工作流,Gmsh,GPL；C++/Python API,开源/开放,自动四面体/高阶网格和研究工作流；可用解析/基准检查,复杂工业装配修复和团队配置管理有限,2026-08-09,https://gmsh.info/
A.1 几何、数据与工作流,ParaView/VTK,BSD；C++/Python,开源/开放,大规模场可视化、采样、比较和自动报告,不管理资产语义、证据和权限,2026-08-09,https://www.paraview.org/
A.1 几何、数据与工作流,preCICE / FMI / SSP,开源或标准；C++/Python、多求解器,开源/开放,分区耦合、ROM/系统模型交换；以守恒和耦合基准验证,只解决通信/协同，不保证各物理模型正确或稳定,2026-08-09,https://precice.org/
