id,projectId,primaryTask,relatedTasks,techniqueFamilies,title,technique,devices,evidenceLevel,deploymentLevel,paperTitles,paperUrls,codeNames,codeUrls,limitations
DSI-001,imas-ids-dd,DG0,DG1 | DG2 | DG3 | DG4 | DG5 | DG6 | DG7 | DG8 | DG9 | DG10 | DG11,COMPUTATIONAL,IMAS 接口数据结构与数据字典,family: COMPUTATIONAL；methods: IDS schema；machine description；ontology-like data dictionary；versioned APIs,ITER | EUROfusion devices | JET | ASDEX Upgrade | WEST | TCV | W7-X,E3,D3,"Code Integration, Data Verification, and Models Validation Using the ITER Integrated Modeling and Analysis System (IMAS) in EUROfusion | Release of IMAS infrastructure and physics models as open source",https://doi.org/10.1080/15361055.2020.1819751 | https://www.iter.org/node/20687/release-imas-infrastructure-and-physics-models-open-source,IMAS Data Dictionary [official-direct] | IMAS Python [official-direct],https://github.com/iterorganization/IMAS-Data-Dictionary | https://github.com/iterorganization/IMAS-Python,IDS 语义覆盖不等于源诊断可比；时间基准、几何误差、校准证书、质量位和后验协方差在不同适配器中仍可能丢失。
DSI-002,mdsplus,DG0,DG1 | DG2 | DG3 | DG4 | DG5 | DG6 | DG7 | DG8 | DG11,COMPUTATIONAL,MDSplus 脉冲树、数据采集与时序数据管理,family: COMPUTATIONAL；methods: hierarchical pulse tree；segmented time series；TDI expressions；distributed client/server,Alcator C-Mod | RFX-mod | TCV | DIII-D | KSTAR | EAST | NSTX-U | SPIDER,E4,D4,"MDSplus yesterday, today and tomorrow | The MDSplus data acquisition system, current status and future directions",https://doi.org/10.1016/j.fusengdes.2017.12.010 | https://library.psfc.mit.edu/catalog/reports/1990/97ja/97ja017/97ja017_full.pdf,MDSplus [official-direct],https://github.com/MDSplus/mdsplus,树结构灵活但跨装置语义不自动一致；复杂表达式和外部依赖的版本冻结、细粒度质量标志及大规模对象存储需额外治理。
DSI-003,ukaea-uda,DG0,DG1 | DG2 | DG3 | DG4 | DG5 | DG6 | DG7 | DG8 | DG10,COMPUTATIONAL,UDA 统一数据访问层,family: COMPUTATIONAL；methods: plugin-driven access；client-server API；fat client；Cap'n Proto,JET | MAST Upgrade | ITER/IMAS workflows | UKAEA facilities,E3,D3,Universal Data Access official repository and documentation,https://github.com/ukaea/UDA,UDA [official-direct] | pyuda [official-direct],https://github.com/ukaea/UDA | https://pypi.org/project/pyuda,可用性取决于站点插件、授权、网络和数据语义；统一对象不等于统一诊断本体。
DSI-004,ga-omas,DG0,DG1 | DG2 | DG3 | DG4 | DG5 | DG6 | DG7 | DG8 | DG9 | DG10,COMPUTATIONAL,OMAS：轻量 IMAS 兼容数据对象与装置映射,family: COMPUTATIONAL；methods: Python object mapping；IMAS schema validation；machine mappings；HDF5/JSON interchange,DIII-D | NSTX-U | ITER scenario studies | GA workflows,E2,D2,OMAS documentation,https://gafusion.github.io/omas,OMAS [official-direct],https://github.com/gafusion/omas,不是实时总线或计量系统；部分 IDS 与机器映射覆盖随版本变化，需固定 schema 和映射提交。
DSI-005,fair4fusion,DG0,DG1 | DG2 | DG3 | DG4 | DG5 | DG6 | DG7 | DG8 | DG10,COMPUTATIONAL,FAIR4Fusion 数据治理蓝图,family: COMPUTATIONAL；methods: FAIR metadata；data management plans；persistent identifiers；access classification,EUROfusion facilities | ITER-adjacent research ecosystem,E1,D1,FAIR4Fusion project and blueprint,https://www.fair4fusion.eu,FAIR4Fusion production platform [not-public],,偏治理和蓝图；设施落地、机器可执行数据契约、审计日志和长期经费仍不一致。
DSI-006,calcam,DG0,DG4 | DG7 | DG8 | DG9,OPTICAL,Calcam 相机几何标定与像素—三维映射,family: OPTICAL；methods: CAD ray projection；camera calibration；pixel sightline mapping；synthetic view,JET | MAST Upgrade | fusion camera systems,E3,D3,Calcam documentation | Calcam,https://euratom-software.github.io/calcam | https://doi.org/10.5281/zenodo.18842405,Calcam [official-direct],https://github.com/euratom-software/calcam,机械热漂移、端口移动、镜面反射与不可见表面会使静态标定失效；几何协方差通常未贯穿后续反演。
DSI-007,marte2-mdsplus,DG0,DG8 | DG11,COMPUTATIONAL,MARTe2–MDSplus 实时采集、配置与归档一体化,family: COMPUTATIONAL；methods: deterministic real-time components；device abstraction；streaming archive；configuration generation,RFX-mod | RFX-mod2 | SPIDER | ITER NBTF | DTT | SPARC planned | SMART proof-of-concept,E4,D4,MARTe2 and MDSplus integration for a comprehensive fast control and data acquisition system,https://doi.org/10.1016/j.fusengdes.2020.111892,MARTe2 [official-direct] | MDSplus [official-enabling],https://vcis-gitlab.f4e.europa.eu/aneto/MARTe2 | https://github.com/MDSplus/mdsplus,框架确定性不等于端到端诊断确定性；驱动、网络、时钟、丢包、重启和模型推理 WCET 需逐系统证明。
DSI-008,iter-diagnostic-codac-cal,DG0,DG5 | DG8 | DG11,ENGINEERING_SENSOR,ITER 诊断 Plant I&C、CODAC 接口与中子计量校准治理,family: ENGINEERING_SENSOR；methods: standardized plant I&C；time/network interfaces；reference-source calibration；cross-calibration,ITER,E2,D2,Integration of the ITER diagnostic plant systems with CODAC | Strategy and guidelines for the calibration of the ITER Radial Neutron Camera | How ITER quantifies fusion power,https://doi.org/10.1016/j.fusengdes.2011.01.101 | https://doi.org/10.1016/j.fusengdes.2019.03.099 | https://www.iter.org/node/20687/how-iter-quantifies-fusion-power,ITER CODAC core/configuration assets [not-public] | OpenMC [official-enabling], | https://github.com/openmc-dev/openmc,大部分端到端等离子体环境验证尚待 ITER 投运；辐照老化、漂移、端口集成和多诊断相关误差会破坏独立误差假设。
DG1-001,fd-diag-plasma-001,DG1,DG0 | DG10 | DG11,MAGNETIC,感应式磁测量：磁通环、拾取线圈与罗戈夫斯基线圈,family: MAGNETIC；name: 感应式磁测量 / inductive magnetics,ITER | DIII-D | EAST | JET,E1,D2,Design and performance analysis of ITER ex-vessel magnetic diagnostics | ITER diagnostics design and implementation,https://doi.org/10.1016/j.fusengdes.2009.01.028 | https://www-pub.iaea.org/MTCD/Publications/PDF/csp_019c/pdf/ct_5.pdf,装置专有分析/标定软件 [not-public],,感应线圈没有真正直流响应；积分漂移、涡流模型、辐照和不可维修性限制长期精度。
DG1-002,fd-diag-plasma-002,DG1,DG0 | DG11,MAGNETIC,稳态霍尔磁测量：ITER OVSS与DEMO候选传感器,family: MAGNETIC；name: 霍尔磁场测量 / Hall magnetics,ITER OVSS | DEMO | TEXTOR | Tore Supra,E3,D3,Status of steady-state magnetic diagnostic for ITER and outlook for possible materials of Hall sensors for DEMO | Prospects for the steady-state magnetic diagnostic based on antimony Hall sensors for future fusion power reactors,https://doi.org/10.1016/j.fusengdes.2019.03.201 | https://doi.org/10.1016/j.fusengdes.2019.01.013,装置专有分析/标定软件 [not-public],,温度、辐照嬗变和远离等离子体的位置使灵敏度漂移及反演病态。
DG1-003,fd-diag-plasma-003,DG1,DG0 | DG11,OPTICAL,光纤电流传感：EAST等离子体与PF母排电流,family: OPTICAL；name: 法拉第光纤电流测量 / FOCS,EAST | ITER concept | CFETR concept,E4,D4,Fiber-optic current sensor for plasma current on experimental advanced superconducting tokamak | Upgrade of poloidal field coils current measurement system on Experimental Advanced Superconducting Tokamak | Effect of Faraday mirror imperfections in a fiber optic current sensor dedicated to ITER,https://doi.org/10.1016/j.fusengdes.2019.01.070 | https://doi.org/10.1016/j.fusengdes.2019.111264 | https://doi.org/10.1016/j.fusengdes.2018.11.011,装置专有分析/标定软件 [not-public],,双折射、连接器/法拉第镜误差、振动和真空内光纤老化影响绝对精度。
DG1-004,fd-diag-plasma-004,DG1,DG2 | DG10,OPTICAL,动生斯塔克效应：内部磁场与电流密度剖面,family: OPTICAL；name: 动生斯塔克偏振谱 / MSE,DIII-D | MST | KSTAR,E4,D4,Motional Stark effect polarimetry for a current profile diagnostic in DIII-D | Improved signal analysis for the calibration of the motional Stark effect diagnostic,https://doi.org/10.1063/1.1141569 | https://doi.org/10.1063/1.2166667,装置专有分析/标定软件 [not-public],,依赖中性束；背景Dα、窗双折射、径向电场和有限束宽形成系统误差。
DG1-005,fd-diag-plasma-005,DG1,DG10 | DG11,COMPUTATIONAL,实时磁平衡重建：rtEFIT与GPU实现,family: COMPUTATIONAL；name: 实时Grad–Shafranov反演 / rtEFIT,DIII-D | HL-2A | EAST | KSTAR,E4,D4,Real time equilibrium reconstruction for tokamak discharge control | Acceleration optimization of real-time equilibrium reconstruction for HL-2A tokamak discharge control,https://doi.org/10.1088/0029-5515/38/7/308 | https://doi.org/10.1088/2058-6272/aa9432,OMFIT EFIT module [controlled-access] | FreeGS [official-enabling] | 装置专有分析/标定软件 [not-public],https://omfit.io/modules/mod_EFIT.html | https://github.com/ukaea/FreeGS | ,轴对称、被动导体和有限观测导致不可辨识；低残差不证明内部剖面真实。
