id,title,year,type,local_file,access,primary_url,note
R1,ITER IMAS infrastructure and physics models open-source release,2025,official,,Open,https://www.iter.org/node/20687/release-imas-infrastructure-and-physics-models-open-source,"IMAS, SOLPS-ITER, DINA and HCD workflow release"
R2,Integrated Modelling of ITER scenarios,2025,slides,iter-integrated-modelling-2025.pdf,Open,https://www.iter.org/sites/default/files/media/2025-07/i-2_pinches.pdf,"IMAS layers and DINA-JINTRAC workflow"
R3,Fusion Energy Sciences & Technology Roadmap,2026,roadmap,,Open,https://science.osti.gov/-/media/fes/pdf/2026/Fusion-ST-RoadmapUpdateV122Singles.pdf,"Whole-plant models and digital thread"
R4,An integrated digital framework for fusion power plant design,2019,paper,digital-framework-2019.pdf,CC BY 4.0,https://doi.org/10.1098/rsos.181847,"Integrated digital design framework"
R5,FUSE: A framework for integrated fusion engineering,2024,preprint,fuse-2024.pdf,Open,https://arxiv.org/abs/2409.05894,"Julia, IMAS ontology, multi-fidelity design"
R6,MEQ: a tool suite for tokamak equilibrium and control,2026,slides,meq-tcv-iaea-2026.pdf,Open,https://conferences.iaea.org/event/450/contributions/40867/,"FGE, LIUQE and FBT workflows"
R7,TRANSP: a code for integrated transport analysis,2024,preprint,transp-2024.pdf,Open,https://arxiv.org/abs/2406.07781,"Modern TRANSP overview"
R8,Predictive transport modelling extensions in TRANSP,2026,preprint,transp-predictive-2026.pdf,Open,https://arxiv.org/,"Predictive transport update; verify exact record in source PDF"
R9,The JOREK non-linear extended MHD code and applications,2021,preprint,jorek-review-2021.pdf,Open,https://arxiv.org/abs/2011.09120,"JOREK methods and applications review"
R10,DREAM: a fluid-kinetic framework for runaway electrons,2021,preprint,dream-2021.pdf,Open,https://arxiv.org/abs/2103.16457,"Verification against theory and independent codes"
R11,Bayesian validation of DREAM,2022,preprint,dream-bayesian-validation-2022.pdf,Open,https://arxiv.org/,"Experimental Bayesian validation example"
R12,ASCOT5 orbit-following Monte Carlo code,2019,preprint,ascot5-2019.pdf,Open,https://arxiv.org/abs/1908.02482,"Fast-ion and orbit-following V&V"
R13,DESC stellarator equilibrium and optimization,2022,paper,desc-2022.pdf,Open,https://github.com/PlasmaControl/DESC,"Modern stellarator equilibrium stack"
R14,Validation in fusion research,2008,preprint,fusion-validation-2008.pdf,Open,https://arxiv.org/abs/0801.2787,"Fusion-specific validation methodology"
R15,Gyrokinetic verification and validation,2017,paper,gyrokinetic-vv-2017.pdf,Open,https://arxiv.org/,"Cross-code gyrokinetic V&V"
R16,SPARC profile prediction with CGYRO/PORTALS,2024,preprint,sparc-cgyro-2024.pdf,Open,https://arxiv.org/abs/2403.15633,"High-fidelity profile prediction"
R17,Hermes-3 multi-component plasma model,2023,preprint,hermes3-2023.pdf,Open,https://arxiv.org/abs/2303.12131,"Multi-fidelity edge plasma model"
R18,FESTIM verification and validation,2024,paper,festim-vv-2024.pdf,Open,https://doi.org/10.1088/1741-4326/ad3d86,"Tritium transport V&V"
R19,FreeMHD development and benchmarks,2024,paper,freeMHD-2024.pdf,Open,https://github.com/ukaea/FreeMHD,"Liquid-metal MHD"
R20,PROCESS engineering overview,2016,paper,process-engineering-2016.pdf,Open,https://github.com/ukaea/PROCESS,"Fusion plant systems code"
R21,NASA-STD-7009B Standard for Models and Simulations,2024,standard,nasa-std-7009b.pdf,Open,https://standards.nasa.gov/standard/nasa/nasa-std-7009,"Cross-industry model credibility standard"
R22,ITER scenario modelling study,2013,paper,iter-scenarios-2013.pdf,Open,https://www.iter.org/,"Historical integrated scenario modelling"
R23,Integrated edge modelling overview,2025,slides,edge-integrated-modelling-2025.pdf,Open,https://indico.euro-fusion.org/,"SOL and edge code landscape"
