id,titleZh,titleEn,year,primaryTask,relatedTasks,devices,evidenceLevel,deploymentLevel,problem,method,timescale,validation,results,limitations,twinRelevance,paperTitles,paperUrls,codeNames,codeUrls,codeStatus
PCS-039,EXL-50/EXL-50U PTEFIT快速平衡重建与反馈探索,,2026,T0,T2 | T9,EXL-50 | EXL-50U,E4,D4,适配球形托卡马克与非感应电流驱动场景的快速平衡重建，并为位形反馈提供低延迟状态。,公开预印本描述PTEFIT快速平衡重建及控制接口；未找到可核验的完整PCS软件栈、驱动、调度和安全/保护架构公开文档。,预印本报告约0.268 ms计算时间；该数值不是经同行评议的端到端PCS延迟，也不包含全部I/O。,原始预印本报告EXL数据上的平衡重建、装置反馈执行和时序结果，足以按作者报告记录E4/D4；来源仍标为preprint，且在期刊评议、代码开放与独立复现前不得上调可信度或外推到完整PCS。,EXL研究性验证；完整部署边界未公开。,预印本、无公共代码、缺端到端时序与独立复现；不能据此推断EXL完整PCS成熟度。,可作为模型、状态、控制策略或验证证据接入控制数字孪生，但需版本、配置与适用域治理。,A Novel Numerical Algorithms Optimization Method with Machine Learning Frameworks: Application on Real-time Plasmas Equilibrium Reconstruction in EXL-50U Spherical Torus | Overview of EXL-50 research progress,https://arxiv.org/abs/2601.12378 | https://doi.org/10.1088/1741-4326/adf239,PTEFIT,,not-public
CPT-031,WEST人工智能热事件实时监测,AI real-time thermal-event monitoring on WEST,2025,T0,T5 | T7 | T4,WEST,E3,D3,固定ROI和阈值难以覆盖移动、形态多变的热点和杂散热事件。,对实时IR图像进行AI检测、定位和事件特征化，在WEST C9战役部署；热事件/打击线分析约30 fps，紧凑CNN电弧检测超过100 fps，并与PCS加热指令接口集成。,热事件约33 ms一帧；电弧检测低于10 ms一帧,WEST C9战役实时运行与事件回放。,系统在C9实时处理大量IR视频并接入PCS指令通道；论文表述为向反馈控制铺路，故保守不计作已证明的自动闭环保护。,实时检测不等于安全认证；分布漂移、相机故障和未知事件需保守回退到独立保护。,适合作为感知增强层和影子告警，但不应绕过硬保护链。,Real-time monitoring system for detection and characterization of thermal events on WEST Tokamak: Implementation and first results,https://doi.org/10.1016/j.fusengdes.2025.114960,WEST AI thermal-event detector,,not-public
CPT-043,DIII-D高带宽边缘涨落约束模式CNN识别,CNN confinement-regime detection from high-bandwidth edge fluctuations on DIII-D,2024,T0,,DIII-D,E2,D2,L/H/ELM状态包含微秒到毫秒的边缘涨落结构，传统低频标量可能丢失前兆。,对1 MHz BES边缘涨落短窗训练CNN，区分约束状态并评估未来FPGA实时化。,约1 ms数据窗；1 MHz原始采样,330个放电训练/开发，44个未见放电测试。,未见放电F1约0.94；论文提出FPGA集成路线，但不应描述为已实时闭环。,BES诊断并非所有装置可用；域漂移、通道失效和FPGA定点误差尚待验证。,可作为高带宽感知插件，但需与低带宽状态估计进行时间对齐和证据分层。,Real-time confinement regime detection in fusion plasmas with convolutional neural networks and high-bandwidth edge fluctuation measurements,https://doi.org/10.1088/2632-2153/ad605e,DIII-D BES regime CNN,,not-public
PCS-038,MEQ实时平衡重建、前馈与磁控制工具箱,,2024,T0,T2,TCV,E4,D4,以统一、可测试代码支持离线/实时平衡、线圈—等离子体响应和磁控制设计，缩短从分析到PCS部署的距离。,MATLAB与C实现；LIUQE用于平衡重建，FGE/FGS等用于响应与场景计算，FBT支持前馈/反馈磁控制；与TCV Simulink/MARTe2链集成。,TCV LIUQE公开综述给出1 ms重建周期；其他MEQ组件应按配置独立测量。,TCV长期实时重建/控制与开源测试；装置迁移仍需新几何、磁标定和实验对照。,TCV生产控制及公开研究工具。,MATLAB部分需要商业环境；跨装置不能直接复用TCV标定和控制矩阵；轴对称平衡有物理边界。,可作为模型、状态、控制策略或验证证据接入控制数字孪生，但需版本、配置与适用域治理。,Overview of the TCV digital real-time plasma control system and its applications,https://doi.org/10.1016/j.fusengdes.2024.114640,MEQ,https://gitlab.epfl.ch/spc/public/meq/meq,official-direct
CTL-CORE-024,ASDEX Upgrade/TCV RAPDENS 密度剖面观测与闭环,Model-based real-time electron-density profile estimation and control on ASDEX Upgrade and TCV,2019,T0,T3,ASDEX Upgrade：高密度颗粒加料；装置闭环实验 | TCV：集成压力/q 控制中的密度保持；装置闭环实验,E4,D4,干涉仪只给线积分且可能跳周，Thomson 低频；长脉冲需要在诊断故障下仍获得核心/边缘密度并控制燃料。,1.5D 粒子输运模型+合成诊断+动态观测器融合干涉仪、Thomson/反射计等；同一模型用于控制器预调并系统处理诊断失效。,观测/燃料控制通常 10–100 ms；粒子输运预测为百毫秒至秒。,跨两装置实时/闭环实验。,AUG 高密度颗粒放电中更可靠地估计核心密度；TCV 中即使 ECCD 功率时变也维持近恒定密度，并向 EC 射线追迹等下游服务提供密度。,边缘边界条件和粒子源/回收模型决定长期偏差；跳周检测、颗粒沉积和壁库存不确定性仍可能共因失效。,提供理想的多率传感融合范例：孪生必须显式处理缺测/跳周，并把壁回收作为可估计慢状态。,Model-based real-time plasma electron density profile estimation and control on ASDEX Upgrade and TCV | Control-oriented modeling of the plasma particle density in tokamaks and application to real-time density profile reconstruction,https://doi.org/10.1016/j.fusengdes.2019.05.030 | https://doi.org/10.1016/j.fusengdes.2017.11.006,RAPDENS,,not-public
CTL-CORE-019,EAST POINT 约束 P-EFIT 的实时电流与 q 剖面重建,Real-time current-profile reconstruction with POINT-constrained P-EFIT on EAST,2018,T0,T3,EAST：长脉冲内部电流剖面；实验数据时间片与仿真回放；论文时尚未报告由其驱动的 q 闭环,E3,D3,仅用外部磁测量难可靠识别内部电流/q 剖面，制约先进场景闭环。,GPU P-EFIT 同化磁诊断和 POINT 偏振干涉仪的 Faraday 旋转/线积分密度信息，在 65×65 网格上实时求解。,约 0.7 ms/时间片。,实时能力与装置数据离线/实验仿真验证。,磁+POINT 输入在约 0.7 ms 内给出合理电流和 q 剖面，达到实时剖面控制的计算预算。,Faraday 旋转反演依赖密度、光路和标定；论文验证重点是速度/合理性，而非长脉冲闭环与不确定度覆盖率。,可作为磁—内部诊断融合状态服务；孪生应同时发布诊断覆盖、残差和与磁-only 重建的分歧。,Development of real-time plasma current profile reconstruction with POINT diagnostic for EAST plasma control,https://doi.org/10.1016/j.fusengdes.2017.05.005,P-EFIT/POINT integration,,not-public
CTL-CORE-023,TCV RAPTOR 快速 q 剖面预测与观测器,"RAPTOR real-time q-profile simulation, estimation and control service",2017,T0,T3,TCV：q/β 剖面控制与场景规划；实时系统、控制器测试环境与闭环实验 | JET/ITER：模型比较和设计研究；离线/仿真,E4,D4,电流扩散比磁形状慢但状态维度高，需在实时预算内预测 q 演化并融合有限诊断。,1.5D 磁通扩散和简化能量/源模型，解析/自动获得雅可比，用扩展 Kalman 滤波或优化融合 LIUQE、MSE/ECE 等，支持在线预测和 MPC。,典型 1–10 ms 计算周期；预测视野可覆盖 0.1–数秒电流扩散。,TCV 实时部署且进入闭环控制链。,使 TCV 能在缺少连续内部电流诊断时运行模型预测 q 控制；与 LIUQE/密度观测器组成动态剖面状态服务。,q 估计会受运输/源模型偏差支配；当无内部诊断时，闭环可能精确跟踪模型而不是真实 q。,动态状态服务应同时输出测量更新量、纯预测量和协方差，并定期以离线动力学平衡/内部诊断纠偏。,Real-time simulation of internal profiles in tokamak plasmas using RAPTOR | Profile control simulations and experiments on TCV,https://doi.org/10.1016/j.fusengdes.2010.12.001 | https://doi.org/10.1088/1741-4326/aa8c48,RAPTOR | TORAX, | https://github.com/google-deepmind/torax,not-public | official-enabling
PCS-007,RAPTOR实时状态观测器与剖面控制链,,2017,T0,T3,TCV | ASDEX Upgrade | RFX-mod,E4,D4,电流密度、电子温度和密度剖面无法由有限诊断直接、稳定地实时获得，而剖面控制需要动态状态估计。,1D控制导向输运模型结合实时平衡和测量，用EKF/状态观测思想更新剖面；可在Simulink/MARTe或装置DCS内运行。,以毫秒至几十毫秒剖面时间尺度运行；具体装置和方程集不同，公开资料不支持给出统一最坏周期。,TCV有实时观测和MPC闭环实验；AUG和RFX-mod有框架集成与对照，证据强度按装置分别解释。,TCV生产实时；AUG/RFX-mod实时集成。,输运闭合、源项和边界约化；状态估计依赖诊断可用性与模型失配处理；不能替代独立高保真验证。,可作为模型、状态、控制策略或验证证据接入控制数字孪生，但需版本、配置与适用域治理。,Distributed digital real-time control system for the TCV tokamak and its applications | Integration of the state observer RAPTOR in the real-time MARTe framework at RFX-mod,https://doi.org/10.1088/1741-4326/aa6120 | https://doi.org/10.1016/j.fusengdes.2017.04.122,RAPTOR,,not-public
CTL-CORE-017,TCV LIUQE 实时平衡与通量面状态服务,LIUQE real-time equilibrium reconstruction on TCV,2015,T0,,TCV：全构型实时平衡；长期实时运行并服务闭环,E4,D4,形状和剖面控制需要在高伸长、强真空室像电流下实时识别电流密度、边界和通量面平均量。,迭代求解 Poisson/Grad–Shafranov 问题，线性参数化等离子体电流密度，并用实验辨识的真空室模型补偿涡流；实时轮廓算法输出 1.5D 运输所需通量面量。,28×65 网格、133 个测量的完整周期短于 200 μs。,实时生产级状态估计，装置闭环间接验证。,在完整空间网格和全部磁测量下低于 200 μs，输出边界、形状及通量面平均量，直接支撑 TCV 形状控制、q 控制和 RAPTOR 耦合。,磁测量对核心 q/压力约束弱；模型误差和真空室状态可产生系统偏差，且确定性输出没有自动给出校准 UQ。,应被实现为带时间戳、输入质量位、求解残差、模型版本和 UQ 的权威状态 API，而非只输出一张平衡图。,Tokamak equilibrium reconstruction code LIUQE and its real time implementation,https://doi.org/10.1016/j.fusengdes.2014.09.019,LIUQE/LIUQE-RT | FreeGSNKE, | https://github.com/FusionComputingLab/freegsnke,not-public | official-enabling
CTL-CORE-022,KSTAR 实时 MSE 电流/q 剖面测量链,Real-time MSE measurements for current-profile control on KSTAR,2012,T0,T3,KSTAR：高性能场景内部磁场；诊断实时实现与实验数据,E3,D3,仅靠外部磁测量不能约束核心 q，必须把 MSE 偏振角稳定、快速地送入实时平衡/剖面控制。,面向实时的 MSE 标定与快速分析，减少经验参数和外界影响；用多通道磁场俯仰角约束平衡。,诊断处理面向 10–100 ms 级剖面控制。,实时诊断链 E3；论文不宣称完整 q 闭环。,建立了实时 MSE 所需的鲁棒标定和快速算法，为 KSTAR q 剖面闭环补上核心状态观测。,依赖 NBI、光学标定和 Stark 模型；信号缺失会使核心 q 再次欠约束，需观测器退化模式。,孪生的 q 状态必须附带诊断来源和覆盖度；MSE 有/无时应发布不同置信等级，而非无缝填补。,Real-time MSE measurements for current profile control on KSTAR,https://doi.org/10.1063/1.4732854,KSTAR real-time MSE analysis,,not-public
