id,projectId,parentProjectId,domain,primaryDomain,relatedDomains,deploymentLevel,title,year,organization,problem,approach,devices,evidenceLevel,evidence,paper_titles,paper_urls,paper_source_types,code_names,code_urls,code_statuses,code_artifact_types,code_access,data,maturity,limitations,tags
PHY-07,PHY-07,,physics,physics,,,PORTALS：以高斯过程代理优化高保真核心输运通量匹配,2024,MIT PSFC、General Atomics、UC San Diego 等,直接以 CGYRO/NEO 等高保真模型进行多通道稳态通量匹配需要大量昂贵调用，常规迭代难以承受。,在局部梯度—通量空间构建高斯过程代理，并以贝叶斯优化选择下一组高保真计算点；同时求解电子/离子温度、密度、杂质与旋转等耦合剖面。,DIII-D：ITER Similar Shape 放电的五通道预测 | 也用于/面向 Alcator C-Mod、ASDEX Upgrade、JET、SPARC、ITER 场景研究,E2,论文在 DIII-D 案例中以显著少于朴素迭代的高保真调用完成五通道匹配，并保持收敛点的全物理求解精度；属于稳态预测与实验解释，不是在线动态孪生。,Enhancing predictive capabilities in fusion burning plasmas through surrogate-based optimization in core transport solvers,https://arxiv.org/abs/2312.12610,,MITIM-fusion / PORTALS,https://github.com/pabloprf/MITIM-fusion,official-direct,,,DIII-D 实验输入和 CGYRO/NEO 调用结果未形成公开一键基准。,已服务多装置/反应堆场景的高保真离线预测工作流。,主要面向稳态和局部输运；依赖 CGYRO/NEO 及所选参数化，MHD、锯齿、边界和不确定性传播仍需外部模型补足。,PORTALS | CGYRO | NEO | 高斯过程 | 贝叶斯优化 | 通量匹配
PHY-02,PHY-02,,physics,physics,,,面向 JOREK 与 MAST 观测的 Fourier Neural Operator 等离子体代理,2024,UKAEA、UCL、Caltech、JOREK/MAST 合作团队,高保真 MHD 时空演化计算和高速相机观测预测成本高，限制了不确定性扫描、实验前预测和近实时状态推演。,采用多变量 Fourier Neural Operator 学习从初始场/历史帧到二维时空场的算子映射，同时研究模拟数据与 MAST 高速相机图像上的多步预测和超分辨率。,JOREK：非线性 MHD 合成数据 | MAST：中央螺线管与偏滤器视场的高速相机数据；未在 MAST-U 在线控制中部署,E2,论文报告相对数值求解器约 6 个数量级的推理加速，归一化均方误差可达约 10^-5，并展示 MAST 图像的零样本空间超分辨率；长期滚动和稀有瞬态仍会损失细节。,Plasma surrogate modelling using Fourier neural operators,https://doi.org/10.1088/1741-4326/ad313a,,论文训练代码与检查点 | neuraloperator, | https://github.com/NeuralOperator/neuraloperator,not-public | official-enabling, | , | ,JOREK 模拟子集与 MAST 相机训练集未作为完整可复现基准公开。,离线概念验证；未形成装置在线状态估计或闭环控制服务。,自回归漂移、极端事件覆盖、守恒/稳定性约束、跨视线几何迁移和实验标定误差尚未系统解决。,FNO | JOREK | MAST | MHD | 高速相机 | 超分辨率
PHY-04,PHY-04,,physics,physics,,,NSTX-U Eqnet/Pertnet 快速平衡与等离子体响应模型,2022,Princeton University、PPPL / PlasmaControl,自由边界 Grad–Shafranov 平衡与非刚性响应计算过慢，限制脉冲规划、闭环仿真和控制器批量测试。,Eqnet 学习 EFIT01 平衡重建，Pertnet 学习 Gspert 小扰动响应；同时提供前向状态预测和由磁诊断重建平衡的模式。,NSTX-U：历史实验、EFIT01 与 Gspert 数据,E2,论文展示对 NSTX-U 平衡/响应的高精度离线复现；在容器涡流显著时，重建模式相对当时的 RTEFIT 标签/输入处理表现出优势。其目标是闭环模拟和控制设计，论文未宣称已替代装置在线权威平衡。,Neural net modeling of equilibria in NSTX-U,https://doi.org/10.1088/1741-4326/ac77e6,,nstxu-nns,https://github.com/PlasmaControl/nstxu-nns,official-direct,,,仓库公开模型与示例；完整 NSTX-U 放电、EFIT01/Gspert 训练数据受设施数据访问约束。,装置特定、可用于闭环仿真的研究级代理；在线权威使用仍需装置侧 V&V。,继承 EFIT/Gspert 标签与线性化响应假设；跨装置、强外推、失磁诊断和不确定度校准尚不足。,NSTX-U | 平衡重建 | Grad-Shafranov | Eqnet | Pertnet | 控制仿真
PHY-01,PHY-01,,physics,physics,,,QLKNN：QuaLiKiz 湍流输运神经网络代理,2020,DIFFER、CEA、EPFL、UKAEA、JET/QuaLiKiz 团队,QuaLiKiz 等准线性湍流输运模型在集成输运模拟、场景优化和控制设计中仍过于昂贵，难以进行大量参数扫描或实时预测。,以约 3 亿个 QuaLiKiz 输入—通量样本训练前馈神经网络，并通过分区/阈值处理保留临界梯度附近的零通量与刚性输运行为；可嵌入 JINTRAC、RAPTOR 等输运框架。,JET：3 个 H 模放电的时间依赖剖面模拟 | ITER/反应堆参数区：仅为外推应用目标，非实验验证,E2,论文报告相对 QuaLiKiz 加速约 3–5 个数量级，使原本小时级的动态输运计算降至数十秒；在 3 个 JET 放电中，稳态末端剖面差异约 1%–15%，动态量差异约 4%–10%。这些结果验证的是对 QuaLiKiz 的仿真代理能力，不等同于对真实湍流的独立验证。,Fast modeling of turbulent transport in fusion plasmas using neural networks,https://doi.org/10.1063/1.5134126,,QLKNN-develop | fusion_surrogates / QLKNN_7_11,https://gitlab.com/qualikiz-group/QLKNN-develop | https://github.com/google-deepmind/fusion_surrogates,official-direct | official-enabling, | , | ,训练数据库由大规模 QuaLiKiz 合成计算产生；模型与部分权重公开，但原始约 3 亿样本并非一键下载的完整公开基准。,已在主流集成输运代码中离线耦合并用于 JET 放电回放；研究级高成熟代理，尚非安全关键在线模型。,严格受训练域和父模型 QuaLiKiz 假设约束；对外推、非局域效应、强 MHD/边界耦合及不确定度的覆盖有限。,湍流输运 | 代理模型 | JET | JINTRAC | RAPTOR | QuaLiKiz
PHY-03,PHY-03,,physics,physics,,,JOREK/STORM 边缘等离子体神经算子：可行性与数据效率,2025,UKAEA、Johannes Kepler University 等,边缘/SOL 与 MHD 代码的完整时间推进代价高，而传统逐步代理在长时滚动中容易漂移。,基于 PDEArena 的 FNO/神经 PDE 训练流程，比较单变量与多变量预测、数据效率以及低保真到高保真微调，覆盖 JOREK 与 STORM 的二维演化。,通用/合成：JOREK 与 STORM 简化二维 blob、SOL 和 MHD 配置 | 未针对某一台装置做实验闭环验证,E1,论文显示 FNO 能捕获 blob 运动和密度源定位等早期演化；长时自回归会累积误差并出现与特定物理现象相关的非单调误差尖峰。低保真到高保真迁移在小数据、短滚动场景可将误差降低约一个数量级，但在长滚动、大数据或动力学差异较大时收益减弱，向未见变量迁移失败。,Neural operator surrogate models of plasma edge simulations: feasibility and data efficiency | Data efficiency and long term prediction capabilities for neural operator surrogate models of core and edge plasma codes,https://arxiv.org/abs/2502.17386 | https://arxiv.org/abs/2402.08561, | ,论文专用训练配置、数据与检查点 | PDEArena, | https://github.com/microsoft/pdearena,not-public | official-enabling, | , | ,主要为研究团队生成的模拟数据，尚无完整公共数据发布。,离线研究原型。,几何和物理均较简化；细尺度结构随滚动衰减，且尚缺守恒误差、失稳边界和外推置信度的工程验收标准。,神经算子 | JOREK | STORM | SOL | 边缘等离子体 | 多保真
PHY-05,PHY-05,,physics,physics,,,TGLF-WINN：波数信息约束的数据高效 TGLF 湍流输运代理,2025,UC San Diego、General Atomics、Princeton 等,TGLF 在全脉冲输运和多次通量匹配中的调用成本过高，直接限制高维场景优化。,通过物理启发的特征工程压缩目标动态范围，在损失中加入按波数分辨的通量正则，并用贝叶斯主动学习挑选 TGLF 样本，以较少昂贵标签训练湍流通量代理。,通用/TGLF 合成参数域；论文未报告具体装置上的在线验证,E1,预印本 v3 报告特征调优与波数正则相对 TGLF-NN 的全数据 RMSLE 降低约 12.5%；加入贝叶斯主动学习后，用 25% 数据即可达到距 TGLF-NN 全数据基线约 2.8% 的离线精度，嵌入通量匹配后相对 TGLF 约 45 倍加速且重建精度相近。,TGLF-WINN: Data-Efficient Deep Learning Surrogate for Turbulent Transport Modeling in Fusion,https://arxiv.org/abs/2509.07024,,TGLF-WINN 训练与权重,,not-public,,,TGLF 合成训练集未发现可核验的完整公开下载。,较新的预印本级离线代理。,尚缺同行评议后的跨装置实验验证、外推检测和不确定度；最终精度上限由 TGLF 父模型决定。,TGLF | TGLF-WINN | 湍流输运 | 波数约束 | 主动学习 | 通量匹配
PHY-08,PHY-08,,physics,physics,,,TORAX：JAX 可微分托卡马克核心输运模拟器,2024,Google DeepMind、Commonwealth Fusion Systems 合作团队,脉冲设计、参数反演和控制优化需要既快速又可微、且能插拔物理模型和学习代理的核心输运求解器。,以 JAX 实现有限体积时间推进，耦合电子/离子热、粒子和电流扩散；通过 JIT、自动微分与模块化接口接入经验模型或 ML 输运代理。,ITER-like 与 SPARC 设计场景；与 RAPTOR 做数值验证 | SPARC 尚未运行，因此不存在 SPARC 实验验证,E1,论文报告与 RAPTOR 基准场景的一致性及 JAX 加速/可微能力；DeepMind 官方材料称 CFS 已将其用于日常 SPARC 虚拟实验与大规模参数研究，但这属于设计工作流应用。,TORAX: A Fast and Differentiable Tokamak Transport Simulator in JAX,https://arxiv.org/abs/2406.06718,,torax,https://github.com/google-deepmind/torax,official-direct,,,仓库提供 ITER/SPARC 等示例配置；真实 SPARC 实验数据尚不存在，其他装置数据同化需用户自行接入。,活跃开源的设计/研究模拟器，已进入工业设计流程；尚不是经实验全面确认的全装置孪生。,当前核心是 1D 径向输运；边缘、MHD、三维效应、工程系统和诊断同化需要外部耦合，数值验证不能替代实验确认。,TORAX | JAX | 可微分模拟 | SPARC | ITER | 核心输运
PHY-06,PHY-06,,physics,physics,,,MMMnet：多模异常输运模块神经网络代理,2021,Lehigh University 等,Multi-Mode Model 的异常扩散系数计算在控制导向输运仿真中仍过慢。,用降维与神经网络近似 MMM，对离子/电子热扩散及环向动量扩散等输出进行快速回归，并嵌入控制导向模拟环境。,DIII-D：基于装置场景的 MMM/COTSIM 训练与验证,E1,论文展示对 MMM 输出的良好离线拟合，并将单次计算降到适合快速输运模拟的量级；没有报告在 DIII-D 上由该模型直接闭环控制。,Neural network model of the multi-mode anomalous transport module for accelerated transport simulations,https://doi.org/10.1088/1741-4326/ac207e,,MMMnet 实现与权重,,not-public,,,DIII-D 场景与 MMM 合成训练集未公开为可直接复现的数据集。,控制导向离线模型原型。,装置/参数域依赖明显，输出物理范围有限；继承 MMM 系统误差，缺少在线漂移监测和安全退化策略。,MMM | DIII-D | 输运代理 | COTSIM | 扩散系数
eng-cfetr-cool-firstwall-surrogate,eng-cfetr-cool-firstwall-surrogate,,engineering,engineering,,,CFETR COOL 包层第一壁热—结构代理与 NSGA-II 优化,2026,"Institute of Plasma Physics, Chinese Academy of Sciences；University of Science and Technology of China",CFETR 超临界 CO₂ 冷却铅锂（COOL）包层第一壁同时承受高热流和结构约束，直接在大设计空间反复求解热—结构模型代价高。,结合热平衡、经验关联式和一维/二维混合导热模型构造参数化代理，并用 NSGA-II 搜索温度、压降与结构约束之间的 Pareto 解。,CFETR COOL blanket 第一壁概念设计,E1,论文针对 CFETR COOL 第一壁开展代理与多目标优化，属于概念设计模型验证；未发现与第一壁原型热流试验或传感器数据的闭环验证。,A surrogate-based thermo-mechanical optimization framework using NSGA-II for the first wall of CFETR COOL blanket,https://doi.org/10.1088/1741-4326/ae8607,,CFETR COOL 第一壁代理与 NSGA-II 实现,,not-public,,,混合解析/低维模型生成数据；未发现公开数据集。,聚变包层概念设计优化的论文级原型。,模型维度和关联式决定适用范围；复杂三维接头、制造偏差、循环疲劳、辐照材料演化及试验外推尚未验证。,CFETR | COOL blanket | 第一壁 | 热结构 | NSGA-II | sCO2
eng-hammerhead-cooling-ml-cfd,eng-hammerhead-cooling-ml-cfd,,engineering,engineering,,,Hammerhead：面向聚变冷却管路的开源 ML–CFD 热工水力优化环境,2026,Swansea University；Diamond Light Source；UKAEA,托卡马克冷却系统的形状参数化需要大量共轭传热 CFD，热性能和压降之间又存在多目标权衡，直接优化成本过高。,Python 自动驱动 OpenFOAM 生成高保真数据库，使用 POD 降维以及 RBF、神经网络或高斯过程代理，执行管内粗糙度/流动参数搜索与多模型比较。,聚变反应堆冷却管路代表性二维/轴对称内流算例 | 尚未在具体托卡马克水冷系统或实物回路上验证,E1,论文展示 600 个 OpenFOAM 算例、训练/验证误差比较与高保真回算；单次高保真约 2–6 小时，代理推理远低于 1 秒。验证基于数值模型而非试验传感器。,Integrated environment for machine learning-aided heat transfer optimisation in internal flows: hammerhead software | Computational Heat Transfer Optimisation in Nuclear Fusion Reactors Using Data-Driven Machine Learning,https://doi.org/10.1088/2632-2153/ae3053 | https://doi.org/10.23889/SUThesis.71082, | ,Hammerhead | OpenFOAM,https://github.com/Dani-Darko/Hammerhead | https://develop.openfoam.com/Development/openfoam,official-direct | official-enabling, | , | ,论文称验证/用例数据可向作者申请；仓库可生成数据，但没有确认公开完整 600 算例数据包。,可运行开源研究软件，完成数值 V&V 与可复现工作流；距离真实聚变部件数字孪生仍缺试验同化与长期运行验证。,当前几何和流态较简化；未覆盖辐照、MHD、沸腾、材料退化、泵阀动态及闭环传感器校准；GP 的规模复杂度明显。,热工水力 | 冷却系统 | OpenFOAM | POD | 神经网络 | 高斯过程 | 开源
