file,category,source_title,source_url,source_figure,license_or_status,transformation,review_status
public/figures/original-digital-framework-fig1.png,publication figure,An integrated digital framework for fusion power plant design,https://doi.org/10.1098/rsos.181847,Figure 1,CC BY 4.0,cropped for web display,attribution recorded
public/figures/original-digital-framework-fig2.png,publication figure,An integrated digital framework for fusion power plant design,https://doi.org/10.1098/rsos.181847,Figure 2,CC BY 4.0,cropped for web display,attribution recorded
public/figures/original-fuse-architecture-fig1.png,preprint figure,FUSE: A framework for integrated fusion engineering,https://arxiv.org/abs/2409.05894,Figure 1,license review required,cropped for web display,verify before external redistribution
public/figures/original-dream-validation-fig5-6.png,preprint figure,DREAM: a fluid-kinetic framework for runaway electrons,https://arxiv.org/abs/2103.16457,Figures 5-6,license review required,combined crop for web display,verify before external redistribution
public/figures/original-dream-validation-fig5-6-clean.png,derived publication crop,DREAM: a fluid-kinetic framework for runaway electrons,https://arxiv.org/abs/2103.16457,Figures 5-6,license review required,cleaned combined crop,verify before external redistribution
public/figures/original-jorek-starwall-fig2.png,preprint figure,The JOREK non-linear extended MHD code and applications,https://arxiv.org/abs/2011.09120,Figure 2,license review required,cropped for web display,verify before external redistribution
public/figures/original-freemhd-vv-fig1-2.png,preprint figure,FreeMHD verification and validation,https://arxiv.org/abs/2409.08950,Figures 1-2,license review required,combined crop for web display,verify before external redistribution
public/figures/original-memento-fig8-9.png,preprint figure,MEMENTO code for macroscopic melt motion,https://arxiv.org/abs/2404.12904,Figures 8-9,license review required,combined crop for web display,verify before external redistribution
public/figures/original-thincurr-sparc-fig3.png,preprint figure,ThinCurr for SPARC and DIII-D conducting structures,https://arxiv.org/abs/2309.15336,Figure 3,license review required,cropped for web display,verify before external redistribution
public/figures/control-closed-loop-architecture-nature.png,original scientific diagram,FusionDigital integrated-control research synthesis,internal research synthesis,Figure C1,original project asset,programmatically drawn with explicit control and protection boundaries,scientific logic reviewed
public/figures/control-task-timescale-nature.png,original scientific diagram,FusionDigital integrated-control research synthesis,internal research synthesis,Figure C2,original project asset,programmatically drawn logarithmic task-timescale map,scientific logic reviewed
public/figures/control-pcs-layers-nature.png,original scientific diagram,FusionDigital integrated-control research synthesis,internal research synthesis,Figure C3,original project asset,programmatically drawn PCS layer and authority map,scientific logic reviewed
public/figures/control-verification-ladder-nature.png,original scientific diagram,FusionDigital integrated-control research synthesis,internal research synthesis,Figure C4,original project asset,programmatically drawn evidence and deployment ladder,scientific logic reviewed
public/figures/control-digital-twin-roadmap-nature.png,original scientific diagram,FusionDigital integrated-control research synthesis,internal research synthesis,Figure C5,original project asset,programmatically drawn FusionDigital control-twin roadmap,scientific logic reviewed
public/figures/diagnostics-digital-twin-architecture-nature.png,original scientific diagram,FusionDigital diagnostics research synthesis,internal research synthesis,Figure D1,original project asset,programmatically drawn diagnostic digital-twin architecture,scientific logic reviewed
public/figures/diagnostics-taxonomy-nature.png,original scientific diagram,FusionDigital diagnostics research synthesis,internal research synthesis,Figure D2,original project asset,programmatically drawn DG0-DG11 task taxonomy,scientific logic reviewed
public/figures/diagnostics-timescale-nature.png,original scientific diagram,FusionDigital diagnostics research synthesis,internal research synthesis,Figure D3,original project asset,programmatically drawn nested diagnostic timescale map,scientific logic reviewed
public/figures/diagnostics-measurement-chain-nature.png,original scientific diagram,FusionDigital diagnostics research synthesis,internal research synthesis,Figure D4,original project asset,programmatically drawn observation-model-decision loop,scientific logic reviewed
public/figures/diagnostics-device-coverage-nature.png,original scientific diagram,FusionDigital diagnostics research synthesis,internal research synthesis,Figure D5,original project asset,programmatically drawn device-task coverage matrix,scientific logic reviewed
public/figures/diagnostics-roadmap-nature.png,original scientific diagram,FusionDigital diagnostics research synthesis,internal research synthesis,Figure D6,original project asset,programmatically drawn diagnostics digital-twin roadmap,scientific logic reviewed
public/figures/diagnostics-synthetic-loop-nature.png,original scientific diagram,FusionDigital diagnostics research synthesis,internal research synthesis,Figure D7,original project asset,programmatically drawn real-to-synthetic diagnostic residual loop,scientific logic reviewed
public/figures/diagnostics-inference-graph-nature.png,original scientific diagram,FusionDigital diagnostics research synthesis,internal research synthesis,Figure D8,original project asset,programmatically drawn multi-diagnostic inference graph,scientific logic reviewed
public/figures/diagnostics-realtime-governance-nature.png,original scientific diagram,FusionDigital diagnostics research synthesis,internal research synthesis,Figure D9,original project asset,programmatically drawn real-time quality and authority governance flow,scientific logic reviewed
public/models/paramak-tokamak-demo/paramak-tokamak-demo.step,generated CAD model,Paramak 0.9.11 tokamak with PF/TF magnets and divertor,https://github.com/fusion-energy/paramak/blob/0.9.11/examples/tokamak_with_pf_tf_magnets_divertor.py,official example,MIT generator; generated output,generated without geometric reinterpretation; source unit millimetres,attribution and disclaimer recorded
public/models/paramak-tokamak-demo/paramak-tokamak-demo.glb,derived web mesh,Paramak 0.9.11 tokamak with PF/TF magnets and divertor,https://github.com/fusion-energy/paramak/blob/0.9.11/examples/tokamak_with_pf_tf_magnets_divertor.py,official example,MIT generator; generated output,CadQuery GLB export plus standards-conformant millimetre-to-metre root scale,attribution and disclaimer recorded
public/models/paramak-tokamak-demo/paramak-tokamak-demo-poster.png,derived model rendering,Paramak 0.9.11 tokamak with PF/TF magnets and divertor,https://github.com/fusion-energy/paramak/blob/0.9.11/examples/tokamak_with_pf_tf_magnets_divertor.py,official example,MIT generator; generated output,programmatic rendering with presentation colors that do not encode simulation results,attribution and disclaimer recorded
